label,jet_pt,jet_mass,n_particles,girth,pt_dispersion,leading_z,jet_eta,jet_phi
1,500.72998,16.108366,18.0,0.009942965,0.6824877,0.6698202,-0.030036483,-1.5328265
1,531.682,17.079508,17.0,0.009877077,0.504385,0.3407105,0.25127316,3.0460384
1,502.46667,71.8987,57.0,0.112477124,0.24897115,0.17153792,-1.3981633,0.52152044
1,505.04922,57.221783,37.0,0.06995403,0.31085092,0.16860352,0.69462264,-0.8292237
1,528.97266,19.927633,35.0,0.013678995,0.42224097,0.36768258,-0.40365422,-1.7574781
0,501.09525,99.18766,63.0,0.18704215,0.21440013,0.116676554,-0.3349437,-0.57915443
1,510.10663,10.059173,15.0,0.011005966,0.46995872,0.29706433,-0.73272496,-0.8213621
1,505.44543,20.565502,30.0,0.019295705,0.3677015,0.1931706,-0.11687332,1.2961907
1,535.5053,46.446976,34.0,0.07028604,0.45977283,0.42938733,0.10453399,-2.4503443
1,511.91196,18.475834,20.0,0.010207531,0.5981073,0.4289631,-1.3239443,-2.977727
1,546.3648,15.261971,27.0,0.013631568,0.5973791,0.5878664,-0.5447465,-1.7960238
0,513.7824,45.395123,52.0,0.054987196,0.31743184,0.23182924,1.0243132,0.11903544
1,502.77402,67.24242,86.0,0.105865255,0.20341492,0.10744855,-0.52003604,1.5822874
0,526.18274,51.58866,49.0,0.07521803,0.2928063,0.22461447,-1.0827283,-2.1819654
1,544.3825,30.362638,46.0,0.044411022,0.21688646,0.09864143,0.84983677,1.6630493
1,519.8499,20.6287,30.0,0.01211287,0.46997067,0.41698354,0.2007459,2.2592478
0,544.8799,36.024433,67.0,0.040891927,0.20357814,0.08252145,-0.5373025,-0.7191295
0,512.4585,44.602844,48.0,0.06480751,0.2547051,0.120658726,-1.5318868,-0.23729785
1,527.49896,26.09944,33.0,0.021812232,0.3413803,0.21507835,-1.3148952,0.26820445
0,515.1204,25.250683,50.0,0.035093375,0.24380547,0.12668826,1.438454,0.055487953
0,542.2536,66.37887,68.0,0.081416756,0.19127938,0.08095622,-0.09406855,1.1221071
1,521.5048,21.513256,27.0,0.02988338,0.53373307,0.5048202,1.5619786,-1.326793
1,518.5803,16.419653,17.0,0.011683841,0.5137148,0.370425,1.4209226,-0.010861312
