num_qubits,variant,n_seeds,final_meta_loss_mean,final_meta_loss_std,final_val_acc_mean,final_val_acc_std,final_val_loss_mean,mean_grad_norm
4,gaussian,4,0.7046662494540216,0.0045363253753002335,0.4869791666666667,0.02980604984963436,0.6953491220871607,0.38656628218484357
4,qmaml_existing,4,0.6843589536017842,0.007429821915873779,0.5052083333333334,0.04199092577238828,0.6927171635131041,0.43469458687021917
4,qmaml_paper,4,0.38244511994222796,0.020562863912366412,0.5885416666666666,0.029919597117385597,0.795852106064558,1.356227036603994
4,uniform,4,0.70237112376425,0.011543506956107287,0.5104166666666666,0.01647019614671032,0.6939245449999969,0.3089251544694832
4,zero,4,0.699003612001737,0.006550638463833694,0.5338541666666666,0.032421613536428986,0.6928862929344177,0.26496118633152027
6,gaussian,4,0.6999391259418593,0.005618717021354759,0.5026041666666666,0.02792657628844691,0.694195669144392,0.5469455968279009
6,qmaml_existing,4,0.6833463236689568,0.008182254949422622,0.5234375,0.0371036636686849,0.6908120152850945,0.6396562683661146
6,qmaml_paper,4,0.36013596256573993,0.03634648297383853,0.5755208333333333,0.028881605485441175,0.8187536715219418,1.445428779492896
6,uniform,4,0.6979715592331357,0.0029912853889403576,0.5130208333333333,0.05227828098928315,0.6928834654390812,0.3762328234842798
6,zero,4,0.7004918514026536,0.00460698323538128,0.4973958333333333,0.02693770946038697,0.6948588142792383,0.458166232980329
8,gaussian,4,0.6937756256924735,0.005150007635285512,0.5182291666666666,0.020002983718407856,0.6942512889703115,0.3215124242971421
8,qmaml_existing,4,0.6782645119561089,0.007790207911019535,0.5026041666666666,0.03070267219414479,0.6924489053587118,0.5803827326229056
8,qmaml_paper,4,0.3247252582675881,0.02638634193593921,0.5625,0.019487798889447617,0.8693951753278573,1.6088314894701405
8,uniform,4,0.6941820747322506,0.006073424053766951,0.5234375,0.0512299884711094,0.6945218071341515,0.30841401997182705
8,zero,4,0.6949393442935413,0.0010818030967807146,0.5130208333333333,0.04255243395408384,0.6939687530199687,0.2929919858072599
